primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-10-28_NA_New Orleans Pelicans_New York Knicks,basketball,pro,NBA,2023-10-28,Saturday,,New Orleans Pelicans,New York Knicks,Smoothie King Center,New Orleans,LA
NBA_2023-10-28_NA_Cleveland Cavaliers_Indiana Pacers,basketball,pro,NBA,2023-10-28,Saturday,,Cleveland Cavaliers,Indiana Pacers,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-10-28_NA_Toronto Raptors_Philadelphia 76ers,basketball,pro,NBA,2023-10-28,Saturday,,Toronto Raptors,Philadelphia 76ers,Scotiabank Arena,Toronto,ON
NBA_2023-10-28_NA_Minnesota Timberwolves_Miami Heat,basketball,pro,NBA,2023-10-28,Saturday,,Minnesota Timberwolves,Miami Heat,Target Center,Minneapolis,MN
NBA_2023-10-28_NA_Phoenix Suns_Utah Jazz,basketball,pro,NBA,2023-10-28,Saturday,,Phoenix Suns,Utah Jazz,Footprint Center,Phoenix,AZ
NBA_2023-10-29_NA_Oklahoma City Thunder_Denver Nuggets,basketball,pro,NBA,2023-10-29,Sunday,,Oklahoma City Thunder,Denver Nuggets,Paycom Center,Oklahoma City,OK
NBA_2023-10-29_NA_Houston Rockets_Golden State Warriors,basketball,pro,NBA,2023-10-29,Sunday,,Houston Rockets,Golden State Warriors,Toyota Center,Houston,TX
NBA_2023-10-29_NA_Milwaukee Bucks_Atlanta Hawks,basketball,pro,NBA,2023-10-29,Sunday,,Milwaukee Bucks,Atlanta Hawks,Fiserv Forum,Milwaukee,WI
NBA_2023-10-29_NA_Philadelphia 76ers_Portland Trail Blazers,basketball,pro,NBA,2023-10-29,Sunday,,Philadelphia 76ers,Portland Trail Blazers,Wells Fargo Center,Philadelphia,PA
NBA_2023-10-29_NA_Los Angeles Clippers_San Antonio Spurs,basketball,pro,NBA,2023-10-29,Sunday,,Los Angeles Clippers,San Antonio Spurs,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-29_NA_Sacramento Kings_Los Angeles Lakers,basketball,pro,NBA,2023-10-29,Sunday,,Sacramento Kings,Los Angeles Lakers,Golden 1 Center,Sacramento,CA
NBA_2023-10-30_NA_Indiana Pacers_Chicago Bulls,basketball,pro,NBA,2023-10-30,Monday,,Indiana Pacers,Chicago Bulls,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-10-30_NA_Washington Wizards_Boston Celtics,basketball,pro,NBA,2023-10-30,Monday,,Washington Wizards,Boston Celtics,Capital One Arena,Washington,DC
NBA_2023-10-30_NA_Charlotte Hornets_Brooklyn Nets,basketball,pro,NBA,2023-10-30,Monday,,Charlotte Hornets,Brooklyn Nets,Spectrum Center,Charlotte,NC
NBA_2023-10-30_NA_Toronto Raptors_Portland Trail Blazers,basketball,pro,NBA,2023-10-30,Monday,,Toronto Raptors,Portland Trail Blazers,Scotiabank Arena,Toronto,ON
NBA_2023-10-30_NA_Atlanta Hawks_Minnesota Timberwolves,basketball,pro,NBA,2023-10-30,Monday,,Atlanta Hawks,Minnesota Timberwolves,State Farm Arena,Atlanta,GA
NBA_2023-10-30_NA_Memphis Grizzlies_Dallas Mavericks,basketball,pro,NBA,2023-10-30,Monday,,Memphis Grizzlies,Dallas Mavericks,FedEx Forum,Memphis,TN
NBA_2023-10-30_NA_Milwaukee Bucks_Miami Heat,basketball,pro,NBA,2023-10-30,Monday,,Milwaukee Bucks,Miami Heat,Fiserv Forum,Milwaukee,WI
NBA_2023-10-30_NA_New Orleans Pelicans_Golden State Warriors,basketball,pro,NBA,2023-10-30,Monday,,New Orleans Pelicans,Golden State Warriors,Smoothie King Center,New Orleans,LA
NBA_2023-10-30_NA_Oklahoma City Thunder_Detroit Pistons,basketball,pro,NBA,2023-10-30,Monday,,Oklahoma City Thunder,Detroit Pistons,Paycom Center,Oklahoma City,OK
NBA_2023-10-30_NA_Denver Nuggets_Utah Jazz,basketball,pro,NBA,2023-10-30,Monday,,Denver Nuggets,Utah Jazz,Ball Arena,Denver,CO
NBA_2023-10-30_NA_Los Angeles Lakers_Orlando Magic,basketball,pro,NBA,2023-10-30,Monday,,Los Angeles Lakers,Orlando Magic,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-31_NA_Cleveland Cavaliers_New York Knicks,basketball,pro,NBA,2023-10-31,Tuesday,,Cleveland Cavaliers,New York Knicks,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-10-31_NA_Phoenix Suns_San Antonio Spurs,basketball,pro,NBA,2023-10-31,Tuesday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
NBA_2023-10-31_NA_Los Angeles Clippers_Orlando Magic,basketball,pro,NBA,2023-10-31,Tuesday,,Los Angeles Clippers,Orlando Magic,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-01_NA_Detroit Pistons_Portland Trail Blazers,basketball,pro,NBA,2023-11-01,Wednesday,,Detroit Pistons,Portland Trail Blazers,Little Caesars Arena,Detroit,MI
NBA_2023-11-01_NA_Toronto Raptors_Milwaukee Bucks,basketball,pro,NBA,2023-11-01,Wednesday,,Toronto Raptors,Milwaukee Bucks,Scotiabank Arena,Toronto,ON
NBA_2023-11-01_NA_Atlanta Hawks_Washington Wizards,basketball,pro,NBA,2023-11-01,Wednesday,,Atlanta Hawks,Washington Wizards,State Farm Arena,Atlanta,GA
NBA_2023-11-01_NA_Boston Celtics_Indiana Pacers,basketball,pro,NBA,2023-11-01,Wednesday,,Boston Celtics,Indiana Pacers,TD Garden,Boston,MA
NBA_2023-11-01_NA_Miami Heat_Brooklyn Nets,basketball,pro,NBA,2023-11-01,Wednesday,,Miami Heat,Brooklyn Nets,Kaseya Center,Miami,FL
NBA_2023-11-01_NA_New York Knicks_Cleveland Cavaliers,basketball,pro,NBA,2023-11-01,Wednesday,,New York Knicks,Cleveland Cavaliers,Madison Square Garden (IV),New York,NY
NBA_2023-11-01_NA_Oklahoma City Thunder_New Orleans Pelicans,basketball,pro,NBA,2023-11-01,Wednesday,,Oklahoma City Thunder,New Orleans Pelicans,Paycom Center,Oklahoma City,OK
NBA_2023-11-01_NA_Houston Rockets_Charlotte Hornets,basketball,pro,NBA,2023-11-01,Wednesday,,Houston Rockets,Charlotte Hornets,Toyota Center,Houston,TX
NBA_2023-11-01_NA_Minnesota Timberwolves_Denver Nuggets,basketball,pro,NBA,2023-11-01,Wednesday,,Minnesota Timberwolves,Denver Nuggets,Target Center,Minneapolis,MN
NBA_2023-11-01_NA_Dallas Mavericks_Chicago Bulls,basketball,pro,NBA,2023-11-01,Wednesday,,Dallas Mavericks,Chicago Bulls,American Airlines Center,Dallas,TX
NBA_2023-11-01_NA_Utah Jazz_Memphis Grizzlies,basketball,pro,NBA,2023-11-01,Wednesday,,Utah Jazz,Memphis Grizzlies,Delta Center,Salt Lake City,UT
NBA_2023-11-01_NA_Golden State Warriors_Sacramento Kings,basketball,pro,NBA,2023-11-01,Wednesday,,Golden State Warriors,Sacramento Kings,Chase Center,San Francisco,CA
NBA_2023-11-01_NA_Los Angeles Lakers_Los Angeles Clippers,basketball,pro,NBA,2023-11-01,Wednesday,,Los Angeles Lakers,Los Angeles Clippers,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-02_NA_Philadelphia 76ers_Toronto Raptors,basketball,pro,NBA,2023-11-02,Thursday,,Philadelphia 76ers,Toronto Raptors,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-02_NA_New Orleans Pelicans_Detroit Pistons,basketball,pro,NBA,2023-11-02,Thursday,,New Orleans Pelicans,Detroit Pistons,Smoothie King Center,New Orleans,LA
NBA_2023-11-02_NA_Utah Jazz_Orlando Magic,basketball,pro,NBA,2023-11-02,Thursday,,Utah Jazz,Orlando Magic,Delta Center,Salt Lake City,UT
NBA_2023-11-02_NA_Phoenix Suns_San Antonio Spurs,basketball,pro,NBA,2023-11-02,Thursday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
NBA_2023-11-03_NA_Indiana Pacers_Cleveland Cavaliers,basketball,pro,NBA,2023-11-03,Friday,,Indiana Pacers,Cleveland Cavaliers,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-03_NA_Milwaukee Bucks_New York Knicks,basketball,pro,NBA,2023-11-03,Friday,,Milwaukee Bucks,New York Knicks,Fiserv Forum,Milwaukee,WI
NBA_2023-11-03_NA_Chicago Bulls_Brooklyn Nets,basketball,pro,NBA,2023-11-03,Friday,,Chicago Bulls,Brooklyn Nets,United Center,Chicago,IL
NBA_2023-11-03_NA_Miami Heat_Washington Wizards,basketball,pro,NBA,2023-11-03,Friday,,Miami Heat,Washington Wizards,Kaseya Center,Miami,FL
NBA_2023-11-03_NA_Oklahoma City Thunder_Golden State Warriors,basketball,pro,NBA,2023-11-03,Friday,,Oklahoma City Thunder,Golden State Warriors,Paycom Center,Oklahoma City,OK
NBA_2023-11-03_NA_Denver Nuggets_Dallas Mavericks,basketball,pro,NBA,2023-11-03,Friday,,Denver Nuggets,Dallas Mavericks,Ball Arena,Denver,CO
NBA_2023-11-03_NA_Portland Trail Blazers_Memphis Grizzlies,basketball,pro,NBA,2023-11-03,Friday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
NBA_2023-11-04_NA_Philadelphia 76ers_Phoenix Suns,basketball,pro,NBA,2023-11-04,Saturday,,Philadelphia 76ers,Phoenix Suns,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-04_NA_Indiana Pacers_Charlotte Hornets,basketball,pro,NBA,2023-11-04,Saturday,,Indiana Pacers,Charlotte Hornets,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-04_NA_New Orleans Pelicans_Atlanta Hawks,basketball,pro,NBA,2023-11-04,Saturday,,New Orleans Pelicans,Atlanta Hawks,Smoothie King Center,New Orleans,LA
NBA_2023-11-04_NA_Orlando Magic_Los Angeles Lakers,basketball,pro,NBA,2023-11-04,Saturday,,Orlando Magic,Los Angeles Lakers,Amway Center,Orlando,FL
NBA_2023-11-04_NA_Brooklyn Nets_Boston Celtics,basketball,pro,NBA,2023-11-04,Saturday,,Brooklyn Nets,Boston Celtics,Barclays Center,Brooklyn,NY
NBA_2023-11-04_NA_Houston Rockets_Sacramento Kings,basketball,pro,NBA,2023-11-04,Saturday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
NBA_2023-11-04_NA_Minnesota Timberwolves_Utah Jazz,basketball,pro,NBA,2023-11-04,Saturday,,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN
NBA_2023-11-04_NA_Denver Nuggets_Chicago Bulls,basketball,pro,NBA,2023-11-04,Saturday,,Denver Nuggets,Chicago Bulls,Ball Arena,Denver,CO
NBA_2023-11-05_NA_Detroit Pistons_Phoenix Suns,basketball,pro,NBA,2023-11-05,Sunday,,Detroit Pistons,Phoenix Suns,Little Caesars Arena,Detroit,MI
NBA_2023-11-05_NA_San Antonio Spurs_Toronto Raptors,basketball,pro,NBA,2023-11-05,Sunday,,San Antonio Spurs,Toronto Raptors,Frost Bank Center,San Antonio,TX
NBA_2023-11-05_NA_Cleveland Cavaliers_Golden State Warriors,basketball,pro,NBA,2023-11-05,Sunday,,Cleveland Cavaliers,Golden State Warriors,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-11-05_NA_Dallas Mavericks_Charlotte Hornets,basketball,pro,NBA,2023-11-05,Sunday,,Dallas Mavericks,Charlotte Hornets,American Airlines Center,Dallas,TX
NBA_2023-11-05_NA_Portland Trail Blazers_Memphis Grizzlies,basketball,pro,NBA,2023-11-05,Sunday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
NBA_2023-11-06_NA_Detroit Pistons_Golden State Warriors,basketball,pro,NBA,2023-11-06,Monday,,Detroit Pistons,Golden State Warriors,Little Caesars Arena,Detroit,MI
NBA_2023-11-06_NA_Indiana Pacers_San Antonio Spurs,basketball,pro,NBA,2023-11-06,Monday,,Indiana Pacers,San Antonio Spurs,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-06_NA_Orlando Magic_Dallas Mavericks,basketball,pro,NBA,2023-11-06,Monday,,Orlando Magic,Dallas Mavericks,Amway Center,Orlando,FL
NBA_2023-11-06_NA_Philadelphia 76ers_Washington Wizards,basketball,pro,NBA,2023-11-06,Monday,,Philadelphia 76ers,Washington Wizards,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-06_NA_Brooklyn Nets_Milwaukee Bucks,basketball,pro,NBA,2023-11-06,Monday,,Brooklyn Nets,Milwaukee Bucks,Barclays Center,Brooklyn,NY
NBA_2023-11-06_NA_Miami Heat_Los Angeles Lakers,basketball,pro,NBA,2023-11-06,Monday,,Miami Heat,Los Angeles Lakers,Kaseya Center,Miami,FL
NBA_2023-11-06_NA_New York Knicks_Los Angeles Clippers,basketball,pro,NBA,2023-11-06,Monday,,New York Knicks,Los Angeles Clippers,Madison Square Garden (IV),New York,NY
NBA_2023-11-06_NA_Chicago Bulls_Utah Jazz,basketball,pro,NBA,2023-11-06,Monday,,Chicago Bulls,Utah Jazz,United Center,Chicago,IL
NBA_2023-11-06_NA_Houston Rockets_Sacramento Kings,basketball,pro,NBA,2023-11-06,Monday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
NBA_2023-11-06_NA_Minnesota Timberwolves_Boston Celtics,basketball,pro,NBA,2023-11-06,Monday,,Minnesota Timberwolves,Boston Celtics,Target Center,Minneapolis,MN
NBA_2023-11-06_NA_Oklahoma City Thunder_Atlanta Hawks,basketball,pro,NBA,2023-11-06,Monday,,Oklahoma City Thunder,Atlanta Hawks,Paycom Center,Oklahoma City,OK
NBA_2023-11-06_NA_Denver Nuggets_New Orleans Pelicans,basketball,pro,NBA,2023-11-06,Monday,,Denver Nuggets,New Orleans Pelicans,Ball Arena,Denver,CO
NBA_2023-11-08_NA_Charlotte Hornets_Washington Wizards,basketball,pro,NBA,2023-11-08,Wednesday,,Charlotte Hornets,Washington Wizards,Spectrum Center,Charlotte,NC
NBA_2023-11-08_NA_Indiana Pacers_Utah Jazz,basketball,pro,NBA,2023-11-08,Wednesday,,Indiana Pacers,Utah Jazz,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-08_NA_Philadelphia 76ers_Boston Celtics,basketball,pro,NBA,2023-11-08,Wednesday,,Philadelphia 76ers,Boston Celtics,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-08_NA_Brooklyn Nets_Los Angeles Clippers,basketball,pro,NBA,2023-11-08,Wednesday,,Brooklyn Nets,Los Angeles Clippers,Barclays Center,Brooklyn,NY
NBA_2023-11-08_NA_New York Knicks_San Antonio Spurs,basketball,pro,NBA,2023-11-08,Wednesday,,New York Knicks,San Antonio Spurs,Madison Square Garden (IV),New York,NY
NBA_2023-11-08_NA_Chicago Bulls_Phoenix Suns,basketball,pro,NBA,2023-11-08,Wednesday,,Chicago Bulls,Phoenix Suns,United Center,Chicago,IL
NBA_2023-11-08_NA_Houston Rockets_Los Angeles Lakers,basketball,pro,NBA,2023-11-08,Wednesday,,Houston Rockets,Los Angeles Lakers,Toyota Center,Houston,TX
NBA_2023-11-08_NA_Memphis Grizzlies_Miami Heat,basketball,pro,NBA,2023-11-08,Wednesday,,Memphis Grizzlies,Miami Heat,FedEx Forum,Memphis,TN
NBA_2023-11-08_NA_Milwaukee Bucks_Detroit Pistons,basketball,pro,NBA,2023-11-08,Wednesday,,Milwaukee Bucks,Detroit Pistons,Fiserv Forum,Milwaukee,WI
NBA_2023-11-08_NA_Minnesota Timberwolves_New Orleans Pelicans,basketball,pro,NBA,2023-11-08,Wednesday,,Minnesota Timberwolves,New Orleans Pelicans,Target Center,Minneapolis,MN
NBA_2023-11-08_NA_Oklahoma City Thunder_Cleveland Cavaliers,basketball,pro,NBA,2023-11-08,Wednesday,,Oklahoma City Thunder,Cleveland Cavaliers,Paycom Center,Oklahoma City,OK
NBA_2023-11-08_NA_Dallas Mavericks_Toronto Raptors,basketball,pro,NBA,2023-11-08,Wednesday,,Dallas Mavericks,Toronto Raptors,American Airlines Center,Dallas,TX
NBA_2023-11-08_NA_Denver Nuggets_Golden State Warriors,basketball,pro,NBA,2023-11-08,Wednesday,,Denver Nuggets,Golden State Warriors,Ball Arena,Denver,CO
NBA_2023-11-08_NA_Sacramento Kings_Portland Trail Blazers,basketball,pro,NBA,2023-11-08,Wednesday,,Sacramento Kings,Portland Trail Blazers,Golden 1 Center,Sacramento,CA
NBA_2023-11-09_NA_Indiana Pacers_Milwaukee Bucks,basketball,pro,NBA,2023-11-09,Thursday,,Indiana Pacers,Milwaukee Bucks,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-09_NA_Orlando Magic_Atlanta Hawks,basketball,pro,NBA,2023-11-09,Thursday,,Orlando Magic,Atlanta Hawks,Mexico City Arena,Orlando,FL
NBA_2023-11-10_NA_Detroit Pistons_Philadelphia 76ers,basketball,pro,NBA,2023-11-10,Friday,,Detroit Pistons,Philadelphia 76ers,Little Caesars Arena,Detroit,MI
NBA_2023-11-10_NA_Washington Wizards_Charlotte Hornets,basketball,pro,NBA,2023-11-10,Friday,,Washington Wizards,Charlotte Hornets,Capital One Arena,Washington,DC
NBA_2023-11-10_NA_Boston Celtics_Brooklyn Nets,basketball,pro,NBA,2023-11-10,Friday,,Boston Celtics,Brooklyn Nets,TD Garden,Boston,MA
NBA_2023-11-10_NA_Houston Rockets_New Orleans Pelicans,basketball,pro,NBA,2023-11-10,Friday,,Houston Rockets,New Orleans Pelicans,Toyota Center,Houston,TX
NBA_2023-11-10_NA_Memphis Grizzlies_Utah Jazz,basketball,pro,NBA,2023-11-10,Friday,,Memphis Grizzlies,Utah Jazz,FedEx Forum,Memphis,TN
NBA_2023-11-10_NA_San Antonio Spurs_Minnesota Timberwolves,basketball,pro,NBA,2023-11-10,Friday,,San Antonio Spurs,Minnesota Timberwolves,Frost Bank Center,San Antonio,TX
NBA_2023-11-10_NA_Dallas Mavericks_Los Angeles Clippers,basketball,pro,NBA,2023-11-10,Friday,,Dallas Mavericks,Los Angeles Clippers,American Airlines Center,Dallas,TX
NBA_2023-11-10_NA_Phoenix Suns_Los Angeles Lakers,basketball,pro,NBA,2023-11-10,Friday,,Phoenix Suns,Los Angeles Lakers,Footprint Center,Phoenix,AZ
NBA_2023-11-10_NA_Sacramento Kings_Oklahoma City Thunder,basketball,pro,NBA,2023-11-10,Friday,,Sacramento Kings,Oklahoma City Thunder,Golden 1 Center,Sacramento,CA
NBA_2023-11-11_NA_Orlando Magic_Milwaukee Bucks,basketball,pro,NBA,2023-11-11,Saturday,,Orlando Magic,Milwaukee Bucks,Amway Center,Orlando,FL
NBA_2023-11-11_NA_Boston Celtics_Toronto Raptors,basketball,pro,NBA,2023-11-11,Saturday,,Boston Celtics,Toronto Raptors,TD Garden,Boston,MA
NBA_2023-11-11_NA_Atlanta Hawks_Miami Heat,basketball,pro,NBA,2023-11-11,Saturday,,Atlanta Hawks,Miami Heat,State Farm Arena,Atlanta,GA
NBA_2023-11-11_NA_Golden State Warriors_Cleveland Cavaliers,basketball,pro,NBA,2023-11-11,Saturday,,Golden State Warriors,Cleveland Cavaliers,Chase Center,San Francisco,CA
NBA_2023-11-12_NA_New York Knicks_Charlotte Hornets,basketball,pro,NBA,2023-11-12,Sunday,,New York Knicks,Charlotte Hornets,Madison Square Garden (IV),New York,NY
NBA_2023-11-12_NA_Brooklyn Nets_Washington Wizards,basketball,pro,NBA,2023-11-12,Sunday,,Brooklyn Nets,Washington Wizards,Barclays Center,Brooklyn,NY
NBA_2023-11-12_NA_Los Angeles Clippers_Memphis Grizzlies,basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Clippers,Memphis Grizzlies,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-12_NA_Philadelphia 76ers_Indiana Pacers,basketball,pro,NBA,2023-11-12,Sunday,,Philadelphia 76ers,Indiana Pacers,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-12_NA_Chicago Bulls_Detroit Pistons,basketball,pro,NBA,2023-11-12,Sunday,,Chicago Bulls,Detroit Pistons,United Center,Chicago,IL
NBA_2023-11-12_NA_Houston Rockets_Denver Nuggets,basketball,pro,NBA,2023-11-12,Sunday,,Houston Rockets,Denver Nuggets,Toyota Center,Houston,TX
NBA_2023-11-12_NA_New Orleans Pelicans_Dallas Mavericks,basketball,pro,NBA,2023-11-12,Sunday,,New Orleans Pelicans,Dallas Mavericks,Smoothie King Center,New Orleans,LA
NBA_2023-11-12_NA_San Antonio Spurs_Miami Heat,basketball,pro,NBA,2023-11-12,Sunday,,San Antonio Spurs,Miami Heat,Frost Bank Center,San Antonio,TX
NBA_2023-11-12_NA_Phoenix Suns_Oklahoma City Thunder,basketball,pro,NBA,2023-11-12,Sunday,,Phoenix Suns,Oklahoma City Thunder,Footprint Center,Phoenix,AZ
NBA_2023-11-12_NA_Golden State Warriors_Minnesota Timberwolves,basketball,pro,NBA,2023-11-12,Sunday,,Golden State Warriors,Minnesota Timberwolves,Chase Center,San Francisco,CA
NBA_2023-11-12_NA_Los Angeles Lakers_Portland Trail Blazers,basketball,pro,NBA,2023-11-12,Sunday,,Los Angeles Lakers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-13_NA_Boston Celtics_New York Knicks,basketball,pro,NBA,2023-11-13,Monday,,Boston Celtics,New York Knicks,TD Garden,Boston,MA
NBA_2023-11-13_NA_Toronto Raptors_Washington Wizards,basketball,pro,NBA,2023-11-13,Monday,,Toronto Raptors,Washington Wizards,Scotiabank Arena,Toronto,ON
NBA_2023-11-13_NA_Milwaukee Bucks_Chicago Bulls,basketball,pro,NBA,2023-11-13,Monday,,Milwaukee Bucks,Chicago Bulls,Fiserv Forum,Milwaukee,WI
NBA_2023-11-13_NA_Sacramento Kings_Cleveland Cavaliers,basketball,pro,NBA,2023-11-13,Monday,,Sacramento Kings,Cleveland Cavaliers,Golden 1 Center,Sacramento,CA
NBA_2023-11-14_NA_Charlotte Hornets_Miami Heat,basketball,pro,NBA,2023-11-14,Tuesday,,Charlotte Hornets,Miami Heat,Spectrum Center,Charlotte,NC
